date,datatype,station,attributes,value
2021-09-01T00:00:00,AWND,GHCND:USW00093193,",,W,",2.8
2021-09-02T00:00:00,AWND,GHCND:USW00093193,",,W,",2.9
2021-09-03T00:00:00,AWND,GHCND:USW00093193,",,W,",2.6
2021-09-04T00:00:00,AWND,GHCND:USW00093193,",,W,",2.3
2021-09-05T00:00:00,AWND,GHCND:USW00093193,",,W,",2.1
2021-09-06T00:00:00,AWND,GHCND:USW00093193,",,W,",2.4
2021-09-07T00:00:00,AWND,GHCND:USW00093193,",,W,",3.6
2021-09-08T00:00:00,AWND,GHCND:USW00093193,",,W,",1.9
2021-09-09T00:00:00,AWND,GHCND:USW00093193,",,W,",2.2
2021-09-10T00:00:00,AWND,GHCND:USW00093193,",,W,",4.3
2021-09-11T00:00:00,AWND,GHCND:USW00093193,",,W,",3.1
2021-09-12T00:00:00,AWND,GHCND:USW00093193,",,W,",2.8
2021-09-13T00:00:00,AWND,GHCND:USW00093193,",,W,",1.7
2021-09-14T00:00:00,AWND,GHCND:USW00093193,",,W,",1.9
2021-09-15T00:00:00,AWND,GHCND:USW00093193,",,W,",2.7
2021-09-16T00:00:00,AWND,GHCND:USW00093193,",,W,",2.8
2021-09-17T00:00:00,AWND,GHCND:USW00093193,",,W,",2.0
2021-09-18T00:00:00,AWND,GHCND:USW00093193,",,W,",4.1
2021-09-19T00:00:00,AWND,GHCND:USW00093193,",,W,",4.9
2021-09-20T00:00:00,AWND,GHCND:USW00093193,",,W,",1.7
2021-09-21T00:00:00,AWND,GHCND:USW00093193,",,W,",1.7
2021-09-22T00:00:00,AWND,GHCND:USW00093193,",,W,",2.6
2021-09-23T00:00:00,AWND,GHCND:USW00093193,",,W,",1.8
2021-09-24T00:00:00,AWND,GHCND:USW00093193,",,W,",1.3
2021-09-25T00:00:00,AWND,GHCND:USW00093193,",,W,",1.7
2021-09-26T00:00:00,AWND,GHCND:USW00093193,",,W,",2.3
2021-09-27T00:00:00,AWND,GHCND:USW00093193,",,W,",3.9
2021-09-28T00:00:00,AWND,GHCND:USW00093193,",,W,",4.7
2021-09-29T00:00:00,AWND,GHCND:USW00093193,",,W,",1.6
2021-09-30T00:00:00,AWND,GHCND:USW00093193,",,W,",1.6
2021-10-01T00:00:00,AWND,GHCND:USW00093193,",,W,",1.3
